Distance from the cathode,nH,Err,nCH,Err,nC2,Err
mm,m\+(-3),,m\+(-3),,m\+(-3),
2.96392785571142,1.38782864423235E21,6.24522889904558E20,854817675295948,341927070118379,4.30910601378557E17,1.72364240551423E17
2.99799599198397,1.17628646733355E21,5.29328910300097E20,862159079797644,344863631919058,4.33686742039174E17,1.7347469681567E17
3.03206412825651,1.22559346530196E21,5.51517059385882E20,870642552181070,348257020872428,4.37950749822876E17,1.7518029992915E17
3.06613226452906,1.30526962566184E21,5.87371331547828E20,879126024564496,351650409825798,4.42214757606579E17,1.76885903042632E17
3.1002004008016,1.34218055022404E21,6.03981247600818E20,892210113551200,356884045420480,4.47699090573087E17,1.79079636229235E17
3.13426853707415,1.29267545885727E21,5.81703956485771E20,907007535617746,362803014247098,4.54156941382059E17,1.81662776552824E17
3.16833667334669,1.22214065025085E21,5.49963292612883E20,925045776486769,370018310594708,4.6061479219103E17,1.84245916876412E17
3.20240480961924,1.26206034921592E21,5.67927157147164E20,954500538137249,381800215254900,4.66920100265904E17,1.86768040106362E17
3.23647294589178,1.23329948201883E21,5.54984766908474E20,983955299787728,393582119915091,4.73029281968367E17,1.89211712787347E17
3.27054108216433,1.14880924113588E21,5.16964158511146E20,1.00322057830565E15,401288231322260,4.7913846367083E17,1.91655385468332E17
3.30460921843687,1.10238324685137E21,4.96072461083117E20,1.01839571218585E15,407358284874340,4.84173264581996E17,1.93669305832798E17
3.33867735470942,1.06175062975506E21,4.77787783389777E20,1.02305705850879E15,409222823403516,4.86911839880391E17,1.94764735952156E17
3.37274549098196,1.02840316818312E21,4.62781425682404E20,987201857659817,394880743063927,4.89650415178786E17,1.95860166071514E17
3.40681362725451,9.675023894476E20,4.3537607525142E20,951346656810849,380538662724340,4.92536750791412E17,1.97014700316565E17
3.44088176352705,9.23982325248884E20,4.15792046361998E20,935315216714219,374126086685688,4.96014127660961E17,1.98405651064384E17
3.4749498997996,9.47585467349881E20,4.26413460307446E20,927840795647375,371136318258950,4.9949150453051E17,1.99796601812204E17
3.50901803607214,9.23672353591788E20,4.15652559116305E20,923273102161872,369309240864749,5.0283091746397E17,2.01132366985588E17
3.54308617234469,8.82072963434749E20,3.96932833545637E20,931020754481521,372408301792608,5.04610276658568E17,2.01844110663427E17
3.57715430861723,8.78195582741986E20,3.95188012233894E20,938768406801170,375507362720468,5.06389635853166E17,2.02555854341266E17
3.61122244488978,8.70642383962947E20,3.91789072783326E20,939229044004620,375691617601848,5.08168995047764E17,2.03267598019106E17
3.64529058116232,8.59870125558055E20,3.86941556501125E20,936314078617478,374525631446991,5.09226443459654E17,2.03690577383862E17
3.67935871743487,8.84297537054627E20,3.97933891674582E20,932415206407597,372966082563039,5.10255765477412E17,2.04102306190965E17
3.71342685370741,8.86222952242791E20,3.98800328509256E20,923906027942595,369562411177038,5.11285087495171E17,2.04514034998068E17
3.74749498997996,8.49776131010476E20,3.82399258954714E20,915396849477593,366158739791037,5.15055635904753E17,2.06022254361901E17
3.78156312625251,8.27809740263582E20,3.72514383118612E20,923181342078132,369272536831253,5.19333818831339E17,2.07733527532536E17
3.81563126252505,8.09277171958557E20,3.64174727381351E20,939051415808940,375620566323576,5.23612001757925E17,2.0944480070317E17
3.8496993987976,7.90916188727528E20,3.55912284927388E20,953951142754535,381580457101814,5.30853850223716E17,2.12341540089486E17
